sorter,loan.or.trip,genus,species,subspecies,collection,specimen.number,sex,svl,locality,ct.whole.body,ct.head,ct.head.phantom,toepads,scales,dice.ct,eggs,status,type.material,percentile,remarks,latitude,longitude,ROM.Object ID,ROM.Object.Number
68,IW2017,Anolis,cristatellus,,IW,2146,M,71.21,"Carite State Forest, Puerto Rico",261,,,,,,,In Lab,,0.945307314,,18.090278,-66.035833,,
69,IW2017,Anolis,cristatellus,,IW,2147,F,45.42,"Carite State Forest, Puerto Rico",262,,,,,,,In Lab,,0.877850792,,18.09076,-66.03563,,
70,IW2017,Anolis,cristatellus,,IW,2148,M,60.7,"Carite State Forest, Puerto Rico",262,,,,,,,In Lab,,0.805787867,,18.090859,-66.03596,,
71,IW2017,Anolis,cristatellus,,IW,2149,M,70.53,"Carite State Forest, Puerto Rico",262,,,,,,,In Lab,,0.936280366,,18.09017,-66.03676,,
72,IW2017,Anolis,cristatellus,,IW,2150,M,71.11,"Carite State Forest, Puerto Rico",262,,,,,,,In Lab,,0.943979822,,18.0901,-66.03601,,
73,IW2017,Anolis,cristatellus,,IW,2151,M,65.01,"Carite State Forest, Puerto Rico",263,,,,,,,In Lab,,0.863002788,,18.090859,-66.03596,,
74,IW2017,Anolis,cristatellus,,IW,2152,M,67.53,"Carite State Forest, Puerto Rico",263,,,,,,,In Lab,,0.896455595,,18.091339,-66.036317,,
75,IW2017,Anolis,cristatellus,,IW,2153,M,67.39,"Carite State Forest, Puerto Rico",263,,,,,,,In Lab,,0.894597106,,18.0905,-66.035833,,
76,IW2017,Anolis,cristatellus,,IW,2154,M,66.85,"Carite State Forest, Puerto Rico",263,,,,,,,In Lab,,0.887428647,,18.09107,-66.03596,,
77,IW2017,Anolis,stratulus,,IW,2155,M,42.21,"Carite State Forest, Puerto Rico",255,,,,,,,In Lab,,0.839665805,,18.090321,-66.036135,,
78,IW2017,Anolis,stratulus,,IW,2156,F,39.29,"Carite State Forest, Puerto Rico",256,,,,,,,In Lab,,0.88670729,,18.090362,-66.036205,,
79,IW2017,Anolis,stratulus,,IW,2157,F,37.6,"Carite State Forest, Puerto Rico",256,,,,,,,In Lab,,0.848566915,,18.091016,-66.036173,,
80,IW2017,Anolis,stratulus,,IW,2158,F,37.77,"Carite State Forest, Puerto Rico",256,,,,,,,In Lab,,0.852403521,,18.091161,-66.036069,,
81,IW2017,Anolis,stratulus,,IW,2159,F,36.38,"Carite State Forest, Puerto Rico",256,,,,,,,In Lab,,0.821033627,,18.091068,-66.035966,,
82,IW2017,Anolis,stratulus,,IW,2160,F,40.94,"Carite State Forest, Puerto Rico",257,,,,,,,In Lab,,0.923944933,,18.091458,-66.036342,,
83,IW2017,Anolis,stratulus,,IW,2161,M,43.2,"Carite State Forest, Puerto Rico",257,,,,,,,In Lab,,0.859359459,,18.09057,-66.03534,,
84,IW2017,Anolis,stratulus,,IW,2162,F,38.75,"Carite State Forest, Puerto Rico",257,,,,,,,In Lab,,0.874520424,,18.091273,-66.036086,,
85,IW2017,Anolis,stratulus,,IW,2165,F,40.99,"Carite State Forest, Puerto Rico",257,,,,,,,In Lab,,0.925073347,,18.091324,-66.036255,,
86,IW2017,Anolis,stratulus,,IW,2166,F,38.22,"Carite State Forest, Puerto Rico",258,,,,,,,In Lab,,0.862559242,,18.091324,-66.036255,,
87,IW2017,Anolis,stratulus,,IW,2191,M,50.27,"Aguirre State Forest, Puerto Rico",104,,,,,,,In Lab,,1,,17.940131,-66.172103,,
88,IW2017,Anolis,stratulus,,IW,2192,M,49.61,"Aguirre State Forest, Puerto Rico",104,,,,,,,In Lab,,0.986870897,,17.940041,-66.172087,,
89,IW2017,Anolis,stratulus,,IW,2193,M,50.16,"Aguirre State Forest, Puerto Rico","105, 106",,,,,,,In Lab,,0.997811816,,17.940041,-66.172087,,
90,IW2017,Anolis,stratulus,,IW,2194,M,49.13,"Aguirre State Forest, Puerto Rico",106,,,,,,,In Lab,,0.977322459,,17.941069,-66.172519,,
91,IW2017,Anolis,cristatellus,,IW,2195,M,72.28,"Aguirre State Forest, Puerto Rico",103,,,,,,,In Lab,,0.959511483,,17.941528,-66.172667,,
92,IW2017,Anolis,cristatellus,,IW,2196,M,75.33,"Aguirre State Forest, Puerto Rico",94,,,,,,,In Lab,,1,,17.940652,-66.17212,,
93,IW2017,Anolis,cristatellus,,IW,2197,M,72.52,"Aguirre State Forest, Puerto Rico",101,,,,,,,In Lab,,0.962697464,,17.94007,-66.17199,,
94,IW2017,Anolis,cristatellus,,IW,2198,M,73.2,"Aguirre State Forest, Puerto Rico",98,,,,,,,In Lab,,0.971724413,,,,,
95,IW2017,Anolis,cristatellus,,IW,2199,M,68.16,"Aguirre State Forest, Puerto Rico",103,,,,,,,In Lab,,0.904818797,,17.940611,-66.172198,,
96,IW2017,Anolis,cristatellus,,IW,2200,M,73.52,"Aguirre State Forest, Puerto Rico",102,,,,,,,In Lab,,0.975972388,,17.940917,-66.182028,,
97,IW2017,Anolis,cristatellus,,IW,2201,M,68.25,"Aguirre State Forest, Puerto Rico",103,,,,,,,In Lab,,0.90601354,,17.940567,-66.172096,,
98,IW2017,Anolis,cristatellus,,IW,2202,M,72.84,"Aguirre State Forest, Puerto Rico",94,,,,,,,In Lab,,0.96694544,,17.940656,-66.172299,,
99,IW2017,Anolis,cristatellus,,IW,2203,M,75.2,"Aguirre State Forest, Puerto Rico",103,,,,,,,In Lab,,0.99827426,,17.941103,-66.172519,,
100,IW2017,Anolis,cristatellus,,IW,2204,M,70.78,"Aguirre State Forest, Puerto Rico",98,,,,,,,In Lab,,0.939599097,,17.940051,-66.172125,,
101,IW2017,Anolis,cristatellus,,IW,2205,M,71.19,"Aguirre State Forest, Puerto Rico",100,,,,,,,In Lab,,0.945041816,,17.940598,-66.172007,,
102,IW2017,Anolis,cristatellus,,IW,2206,M,73.08,"Aguirre State Forest, Puerto Rico",99,,,,,,,In Lab,,0.970131422,,17.940569,-66.172138,,
103,IW2017,Anolis,cristatellus,,IW,2207,M,69.34,"Aguirre State Forest, Puerto Rico",100,,,,,,,In Lab,,0.920483207,,17.940683,-66.172197,,
104,IW2017,Anolis,cristatellus,,IW,2208,M,68.97,"Aguirre State Forest, Puerto Rico",102,,,,,,,In Lab,,0.915571485,,17.940734,-66.172367,,
105,IW2017,Anolis,cristatellus,,IW,2209,M,72.36,"Aguirre State Forest, Puerto Rico",101,,,,,,,In Lab,,0.960573477,,17.940598,-66.172007,,
106,IW2017,Anolis,cristatellus,,IW,2210,F,48.08,"Aguirre State Forest, Puerto Rico",101,,,,,,,In Lab,,0.929261693,,17.942114,-66.173064,,
107,IW2017,Anolis,cristatellus,,IW,2211,F,51.74,"Aguirre State Forest, Puerto Rico",99,,,,,,,In Lab,,1,,17.942082,-66.173043,,
108,IW2017,Anolis,cristatellus,,IW,2212,F,48.27,"Aguirre State Forest, Puerto Rico","102, 2395",,2396,,,,,In Lab,,0.9329339,,17.94083,-66.17228,,
109,IW2017,Anolis,cristatellus,,IW,2213,F,46.16,"Aguirre State Forest, Puerto Rico",94,,,,,,,In Lab,,0.892153073,,17.94008,-66.171979,,
110,IW2017,Anolis,cristatellus,,IW,2214,F,43.78,"Aguirre State Forest, Puerto Rico",98,,,,,,,In Lab,,0.846153846,,17.940839,-66.172233,,
111,IW2017,Anolis,cristatellus,,IW,2215,F,47.07,"Aguirre State Forest, Puerto Rico",102,,,,,,,In Lab,,0.909741013,,17.940599,-66.172106,,
112,IW2017,Anolis,cristatellus,,IW,2216,F,48.24,"Aguirre State Forest, Puerto Rico",100,,,,,,,In Lab,,0.932354078,,17.942,-66.172953,,
113,IW2017,Anolis,cristatellus,,IW,2218,M,54.68,"Aguirre State Forest, Puerto Rico",99,,,,,,,In Lab,,0.725872826,,17.941498,-66.172731,,
114,IW2017,Anolis,cristatellus,,IW,2219,F,42.58,"Carite State Forest, Puerto Rico",264,,,,,,,In Lab,,0.822960959,,18.090819,-66.035655,,
115,IW2017,Anolis,cristatellus,,IW,2220,F,43.06,"Carite State Forest, Puerto Rico",264,,,,,,,In Lab,,0.832238114,,18.090819,-66.035655,,
116,IW2017,Anolis,cristatellus,,IW,2221,M,48.5,"Carite State Forest, Puerto Rico",264,,,,,,,In Lab,,0.643833798,,18.090905,-66.03584,,
117,IW2017,Anolis,cristatellus,,IW,2222,F,39.68,"Carite State Forest, Puerto Rico",264,,,,,,,In Lab,,0.76691148,,18.0612,-66.10072,,
118,IW2017,Anolis,stratulus,,IW,2223,M,45.22,"Carite State Forest, Puerto Rico",217,,,,,,,In Lab,,0.899542471,,18.09138,-66.036209,,
119,IW2017,Anolis,stratulus,,IW,2224,M,47.01,"Carite State Forest, Puerto Rico",217,,,,,,,In Lab,,0.935150189,,18.09090503,-66.03584002,,
120,IW2017,Anolis,cristatellus,,IW,2281,F,43.67,"Aguirre State Forest, Puerto Rico",98,,,,,,,In Lab,,0.844027831,,17.940146,-66.171999,,
121,IW2017,Anolis,cristatellus,,IW,2282,F,40.18,"Aguirre State Forest, Puerto Rico",99,,,,,,,In Lab,,0.776575184,,17.940146,-66.171999,,
122,IW2017,Anolis,cristatellus,,IW,2283,F,45.89,"Aguirre State Forest, Puerto Rico",101,,,,,,,In Lab,,0.886934673,,17.940146,-66.171999,,
123,IW2017,Anolis,cristatellus,,IW,2284,F,45.59,"Aguirre State Forest, Puerto Rico",100,,,,,,,In Lab,,0.881136451,,17.940146,-66.171999,,
124,IW2017,Anolis,stratulus,,IW,2286,M,44.81,"Aguirre State Forest, Puerto Rico",105,,,,,,,In Lab,,0.891386513,,17.94003,-66.17209,,
125,IW2017,Anolis,stratulus,,IW,2287,M,48.5,"Carite State Forest, Puerto Rico",258,,,,,,,In Lab,,0.964790133,,18.091161,-66.036069,,
126,IW2017,Anolis,stratulus,,IW,2288,M,48.51,"Aguirre State Forest, Puerto Rico",105,,,,,,,In Lab,,0.964989059,,17.940146,-66.171999,,
127,IW2017,Anolis,stratulus,,IW,2289,M,48.96,"Aguirre State Forest, Puerto Rico",105,,,,,,,In Lab,,0.97394072,,17.940146,-66.171999,,
128,IW2017,Anolis,stratulus,,IW,2290,M,45.33,"Aguirre State Forest, Puerto Rico",104,,,,,,,In Lab,,0.901730654,,17.940146,-66.171999,,
129,IW2017,Anolis,stratulus,,IW,2291,F,40.18,"Aguirre State Forest, Puerto Rico",107,,,,,,,In Lab,,0.906793049,,17.940146,-66.171999,,
130,IW2017,Anolis,stratulus,,IW,2292,F,41.65,"Aguirre State Forest, Puerto Rico",106,,,,,,,In Lab,,0.939968404,,17.940146,-66.171999,,
131,IW2017,Anolis,stratulus,,IW,2293,F,40.49,"Carite State Forest, Puerto Rico",265,,,,,,,In Lab,,0.913789212,DLM updated locality to Carite State Forest on 2022-03-06 following email from IW. GPS was already correct.,18.091161,-66.036069,,
132,IW2017,Anolis,stratulus,,IW,2294,F,40.94,"Aguirre State Forest, Puerto Rico",106,,,,,,,In Lab,,0.923944933,,17.940105,-66.171805,,
133,IW2017,Anolis,stratulus,,IW,2295,F,37.92,"Aguirre State Forest, Puerto Rico",104,,,,,,,In Lab,,0.855788761,,17.940105,-66.171805,,
134,IW2017,Anolis,cristatellus,,IW,2297,M,69.99,"Guanica State Forest, Puerto Rico",208,"202, 218",,,,,,In Lab,,0.929111908,,17.949079,-66.87662,,
135,IW2017,Anolis,cristatellus,,IW,2298,M,57.64,"Guanica State Forest, Puerto Rico",208,223,,,,,,In Lab,,0.7651666,,17.950861,-66.847472,,
136,IW2017,Anolis,cristatellus,,IW,2299,M,52.86,"Guanica State Forest, Puerto Rico",208,222.1,,,,,,In Lab,,0.701712465,,17.954017,-66.850712,,
137,IW2017,Anolis,cristatellus,,IW,2300,M,59.77,"Guanica State Forest, Puerto Rico",208,224,,,,,,In Lab,,0.793442188,,17.953626,-66.847455,,
138,IW2017,Anolis,cristatellus,,IW,2301,M,63.85,"Guanica State Forest, Puerto Rico",209,206,,,,,,In Lab,,0.847603876,,17.95358,-66.84899,,
139,IW2017,Anolis,cristatellus,,IW,2302,M,65.3,"Guanica State Forest, Puerto Rico",209,211,,,,,,In Lab,,0.866852516,,17.954017,-66.850712,,
140,IW2017,Anolis,cristatellus,,IW,2303,M,62.79,"Guanica State Forest, Puerto Rico",209,225,,,,,,In Lab,,0.833532457,,17.95369,-66.849345,,
141,IW2017,Anolis,cristatellus,,IW,2304,M,64.42,"Guanica State Forest, Puerto Rico",209,221,,,,,,In Lab,,0.855170583,,17.953658,-66.849242,,
142,IW2017,Anolis,cristatellus,,IW,2305,M,61.75,"Guanica State Forest, Puerto Rico",212,226,,,,,,In Lab,,0.819726537,,17.95402,-66.850803,,
143,IW2017,Anolis,cristatellus,,IW,2306,M,64.88,"Guanica State Forest, Puerto Rico",212,220,,,,,,In Lab,,0.861277048,,17.953472,-66.84725,,
144,IW2017,Anolis,cristatellus,,IW,2307,M,61.33,"Guanica State Forest, Puerto Rico",265,,,,,,,In Lab,,0.814151069,,17.971543,-66.867946,,
145,IW2017,Anolis,cristatellus,,IW,2308,M,58.05,"Guanica State Forest, Puerto Rico",265,,,,,,,In Lab,,0.770609319,,17.970983,-66.868312,,
146,IW2017,Anolis,cristatellus,,IW,2310,M,61.59,"Guanica State Forest, Puerto Rico",212,216,,,,,,In Lab,,0.817602549,,17.95369,-66.849345,,
147,IW2017,Anolis,cristatellus,,IW,2311,M,62.81,"Guanica State Forest, Puerto Rico",212,219,,,,,,In Lab,,0.833797956,,17.95368,-66.84907,,
148,IW2017,Anolis,cristatellus,,IW,2312,M,59.12,"Guanica State Forest, Puerto Rico",213,204,,,,,,In Lab,,0.784813487,,17.95362,-66.84901,,
149,IW2017,Anolis,cristatellus,,IW,2313,F,45.04,"Guanica State Forest, Puerto Rico",213,203,,,,,,In Lab,,0.870506378,,17.954005,-66.850698,,
150,IW2017,Anolis,cristatellus,,IW,2314,F,43.81,"Guanica State Forest, Puerto Rico",265,,,,,,,In Lab,,0.846733668,,17.971533,-66.868225,,
151,IW2017,Anolis,cristatellus,,IW,2315,F,46.55,"Guanica State Forest, Puerto Rico",213,216.1,,,,,,In Lab,,0.899690761,,17.95353,-66.84884,,
152,IW2017,Anolis,cristatellus,,IW,2316,F,44.24,"Guanica State Forest, Puerto Rico",213,215,,,,,,In Lab,,0.855044453,,17.95366,-66.84927,,
153,IW2017,Anolis,cristatellus,,IW,2317,F,46.04,"Guanica State Forest, Puerto Rico",252,205,,,,,,In Lab,,0.889833784,,17.95402,-66.850803,,
154,IW2017,Anolis,cristatellus,,IW,2318,F,40.35,"Guanica State Forest, Puerto Rico",266,,,,,,,In Lab,,0.779860843,,17.971682,-66.869354,,
155,IW2017,Anolis,cristatellus,,IW,2319,F,40.84,"Guanica State Forest, Puerto Rico",266,,,,,,,In Lab,,0.789331272,,17.97135,-66.86858,,
156,IW2017,Anolis,cristatellus,,IW,2320,F,41.23,"Guanica State Forest, Puerto Rico",252,207,,,,,,In Lab,,0.79686896,,17.953467,-66.847458,,
157,IW2017,Anolis,cristatellus,,IW,2321,F,43.09,"Guanica State Forest, Puerto Rico",266,,,,,,,In Lab,,0.832817936,,17.971533,-66.868225,,
158,IW2017,Anolis,cristatellus,,IW,2322,F,46.55,"Guanica State Forest, Puerto Rico",266,,,,,,,In Lab,,0.899690761,,17.954024,-66.850727,,
159,IW2017,Anolis,stratulus,,IW,2323,M,45.87,"Guanica State Forest, Puerto Rico",443,,,,,,,In Lab,,0.912472648,,17.97168,-66.86809,,
160,IW2017,Anolis,stratulus,,IW,2327,M,43.87,"Maricao State Forest, Puerto Rico",112,,,,,,,In Lab,,0.872687488,,18.141889,-66.973056,,
161,IW2017,Anolis,stratulus,,IW,2328,M,47.43,"Maricao State Forest, Puerto Rico","109, 192",,,,,,,In Lab,,0.943505073,,18.14011,-66.973122,,
162,IW2017,Anolis,stratulus,,IW,2329,M,40.29,"Maricao State Forest, Puerto Rico",108,,,,,,,In Lab,,0.801472051,,18.14119603,-66.973418,,
163,IW2017,Anolis,stratulus,,IW,2330,M,43.18,"Maricao State Forest, Puerto Rico",108,,,,,,,In Lab,,0.858961607,,18.142065,-66.973298,,
164,IW2017,Anolis,stratulus,,IW,2331,M,45.14,"Maricao State Forest, Puerto Rico",107,,,,,,,In Lab,,0.897951064,,18.142065,-66.973298,,
165,IW2017,Anolis,stratulus,,IW,2332,M,46.94,"Maricao State Forest, Puerto Rico",108,,,,,,,In Lab,,0.933757708,,18.140796,-66.973629,,
166,IW2017,Anolis,stratulus,,IW,2333,M,43.13,"Maricao State Forest, Puerto Rico","109, 192",,,,,,,In Lab,,0.857966978,,18.140114,-66.973156,,
167,IW2017,Anolis,stratulus,,IW,2334,M,38.92,"Maricao State Forest, Puerto Rico",192,,,,,,,In Lab,,0.774219216,,18.140907,-66.973578,,
168,IW2017,Anolis,stratulus,,IW,2335,F,41.44,"Maricao State Forest, Puerto Rico","109, 192",,,,,,,In Lab,,0.935229068,,18.140916,-66.97361,,
169,IW2017,Anolis,stratulus,,IW,2336,F,37.27,"Maricao State Forest, Puerto Rico",107,,,,,,,In Lab,,0.841119386,,18.140916,-66.97361,,
170,IW2017,Anolis,stratulus,,IW,2337,M,42.9,"Maricao State Forest, Puerto Rico",111,,,,,,,In Lab,,0.853391685,,18.140852,-66.974216,,
171,IW2017,Anolis,stratulus,,IW,2338,F,38.08,"Maricao State Forest, Puerto Rico",128,,,,,,,In Lab,,0.859399684,,18.140852,-66.974216,,
